,,"500GB
DATA2","Unlimited
DATA"
0,44.4 Mbps,"$69.95
$74.95
Minimum total cost $69.95","$74.95
$79.95
Minimum total cost $74.953"
1,90.0 Mbps,"$79.95
Minimum total cost $79.95","$89.95
Minimum total cost $89.95"
